gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000263874	28	24	4	0.01406581043422065	0.5089259149062779	0.3622433799464445	0.1466825349598334	AD	ENSG00000263874	0.6603689378161262	-0.09823442011927595	FALSE	9	LASP1NB	LASP1NB
ENSG00000052841	141	329	-188	-2.433840409341344	0.7389169889913716	0.885450758702767	-0.14653376971139542	Control	ENSG00000052841	0.6596251115739363	0.07320206687660935	FALSE	9	TTC17	TTC17
ENSG00000285051	11	11	0	-0.03693223581110361	0.377268670038679	0.23073490032728355	0.14653376971139542	Control	ENSG00000285051	0.6596251115739363	-0.03586290068832376	FALSE	9	SLC7A14-AS1	SLC7A14-AS1
ENSG00000172354	11	11	0	-0.03693223581110361	0.377268670038679	0.23073490032728355	0.14653376971139542	Control	ENSG00000172354	0.6596251115739363	-0.1364097523317671	FALSE	9	GNB2	GNB2
ENSG00000129933	57	169	-112	-1.4648775306801831	0.6157393632847367	0.7619756024992562	-0.14623623921451956	Control	ENSG00000129933	0.6590300505801845	0.05785949381338362	FALSE	9	MAU2	MAU2
ENSG00000133135	19	69	-50	-0.6744078138776569	0.45135376376078545	0.597590002975305	-0.1462362392145195	Control	ENSG00000133135	0.6587325200833085	-0.30302737010881664	FALSE	9	RNF128	RNF128
ENSG00000139433	4	26	-22	-0.3174214901603871	0.23147872656947335	0.3775662005355549	-0.14608747396608152	Control	ENSG00000139433	0.6584349895864327	0.05753944592581206	FALSE	9	GLTP	GLTP
ENSG00000150753	8	8	0	-0.03693223581110361	0.33234156501041356	0.18670038678964593	0.14564117822076764	Control	ENSG00000150753	0.6579886938411187	-0.0905469415387028	FALSE	9	CCT5	CCT5
ENSG00000120438	8	8	0	-0.03693223581110361	0.33234156501041356	0.18670038678964593	0.14564117822076764	Control	ENSG00000120438	0.6579886938411187	-0.06986208828222473	FALSE	9	TCP1	TCP1
ENSG00000203747	9	43	-34	-0.47041562889635985	0.34811068134483786	0.49375185956560547	-0.1456411782207676	Control	ENSG00000203747	0.6573936328473668	-0.19195121055214948	FALSE	9	FCGR3A	FCGR3A
ENSG00000165309	9	43	-34	-0.47041562889635985	0.34811068134483786	0.49375185956560547	-0.1456411782207676	Control	ENSG00000165309	0.6573936328473668	0.00463726403534803	FALSE	9	ARMC3	ARMC3
ENSG00000163904	18	66	-48	-0.6489087907549947	0.44346920559357333	0.588961618565903	-0.14549241297232968	Control	ENSG00000163904	0.656947337102053	-0.01577381467114413	FALSE	9	SENP2	SENP2
ENSG00000288062	57	39	18	0.1925589722928556	0.6157393632847367	0.470395715560845	0.1453436477238917	AD	ENSG00000288062	0.656501041356739	-0.24483157273638056	FALSE	9	NA	ENSG00000288062
ENSG00000248449	12	51	-39	-0.5341631867030152	0.3882772984230884	0.5336209461469801	-0.1453436477238917	Control	ENSG00000248449	0.656501041356739	0.29110269686576107	FALSE	9	PCDHGB8P	PCDHGB8P
ENSG00000181195	7	37	-30	-0.4194175826510356	0.3122582564712883	0.45745313894674206	-0.14519488247545376	Control	ENSG00000181195	0.6559059803629872	-0.16152191054100307	FALSE	9	PENK	PENK
ENSG00000139668	7	37	-30	-0.4194175826510356	0.3122582564712883	0.45745313894674206	-0.14519488247545376	Control	ENSG00000139668	0.6559059803629872	0.12690931626986313	FALSE	9	WDFY2	WDFY2
ENSG00000128609	212	448	-236	-3.045816964285235	0.7950014876524844	0.9400476048795	-0.14504611722701577	Control	ENSG00000128609	0.6551621541207974	-0.21004998454302104	FALSE	9	NDUFA5	NDUFA5
ENSG00000138078	353	138	215	2.704212749875076	0.8714668253495983	0.7264207081225825	0.14504611722701577	AD	ENSG00000138078	0.6551621541207974	-0.28450292835969826	FALSE	9	PREPL	PREPL
ENSG00000268362	124	305	-181	-2.3445938284120267	0.7249330556382029	0.8699791728652186	-0.14504611722701577	Control	ENSG00000268362	0.6551621541207974	0.22607310099889943	FALSE	9	NA	ENSG00000268362
ENSG00000108424	30	98	-68	-0.9038990219816162	0.5191907170484975	0.6636417732817613	-0.14445105623326382	Control	ENSG00000108424	0.6545670931270455	-0.14854319393963775	FALSE	9	KPNB1	KPNB1
ENSG00000203739	12	12	0	-0.03693223581110361	0.3882772984230884	0.2439750074382624	0.14430229098482597	Control	ENSG00000203739	0.6542695626301696	0.09306831060459508	FALSE	9	PRDX6-AS1	PRDX6-AS1
ENSG00000221978	151	343	-192	-2.4848384555866683	0.750074382624219	0.8943766736090449	-0.14430229098482594	Control	ENSG00000221978	0.6538232668848557	0.13160239207641666	FALSE	9	CCNL2	CCNL2
ENSG00000272047	67	190	-123	-1.605122157854825	0.639839333531687	0.7841416245165129	-0.14430229098482594	Control	ENSG00000272047	0.6538232668848557	-0.17796498104566716	FALSE	9	GTF2H5	GTF2H5
ENSG00000174446	232	97	135	1.6842518249685905	0.8061588812853318	0.6623028860458197	0.1438559952395121	AD	ENSG00000174446	0.6533769711395419	-0.07322302390473823	FALSE	9	SNAPC5	SNAPC5
ENSG00000281026	168	365	-197	-2.5485860133933236	0.7613805415055043	0.9049390062481404	-0.14355846474263612	Control	ENSG00000281026	0.6527819101457899	0.16902159231327385	FALSE	9	N4BP2L2-IT2	N4BP2L2-IT2
ENSG00000159433	40	123	-83	-1.0951416954015822	0.5626301695923832	0.7061886343350193	-0.14355846474263612	Control	ENSG00000159433	0.6527819101457899	0.1910389318129155	FALSE	9	STARD9	STARD9
ENSG00000284770	40	123	-83	-1.0951416954015822	0.5626301695923832	0.7061886343350193	-0.14355846474263612	Control	ENSG00000284770	0.6527819101457899	0.1375646679256004	FALSE	9	TBCE	TBCE
ENSG00000176155	122	300	-178	-2.3063452937280333	0.7229991074085094	0.8664088069027075	-0.14340969949419813	Control	ENSG00000176155	0.6520380839036001	0.14873455408860714	FALSE	9	CCDC57	CCDC57
ENSG00000173465	29	25	4	0.01406581043422065	0.5144302290984826	0.3710205296042845	0.14340969949419813	AD	ENSG00000173465	0.6520380839036001	-0.122915500097454	FALSE	9	ZNRD2	ZNRD2
