gene	AD	CTL
ENSG00000003402	137	152
ENSG00000116221	403	427
ENSG00000181722	104	111
ENSG00000169567	387	415
ENSG00000078403	105	149
ENSG00000110675	193	289
ENSG00000115825	79	102
ENSG00000136541	24	20
ENSG00000140299	159	147
ENSG00000164615	409	261
ENSG00000132463	502	654
ENSG00000237190	474	316
ENSG00000156471	412	474
ENSG00000127824	183	356
ENSG00000077264	235	167
ENSG00000114383	367	510
ENSG00000070761	321	403
ENSG00000150093	101	24
ENSG00000134684	335	512
ENSG00000164609	339	499
ENSG00000230590	56	73
ENSG00000115484	48	62
ENSG00000134516	11	22
ENSG00000150760	79	60
ENSG00000174996	271	169
ENSG00000135932	207	184
ENSG00000215021	254	126
ENSG00000197586	119	292
ENSG00000130731	448	284
ENSG00000136810	273	122
ENSG00000104738	233	56
ENSG00000122203	169	63
ENSG00000104447	68	159
ENSG00000157827	67	81
ENSG00000105254	235	248
ENSG00000157741	103	111
ENSG00000214176	94	117
ENSG00000111530	533	470
ENSG00000077238	16	10
ENSG00000069956	250	218
ENSG00000205060	253	272
ENSG00000178974	430	346
ENSG00000006530	156	134
ENSG00000185760	65	171
ENSG00000171603	343	461
ENSG00000105695	26	22
ENSG00000081237	17	38
ENSG00000112651	306	346
ENSG00000151465	361	272
ENSG00000166448	233	172
ENSG00000085377	152	58
ENSG00000177119	94	58
ENSG00000126267	393	231
ENSG00000180044	159	53
ENSG00000197892	33	44
ENSG00000117758	239	88
ENSG00000175073	381	356
ENSG00000061936	85	120
ENSG00000004897	479	563
ENSG00000153814	253	305
ENSG00000168785	211	115
ENSG00000134121	247	76
ENSG00000119778	89	158
ENSG00000105856	66	66
ENSG00000233705	27	19
ENSG00000147669	326	432
ENSG00000182247	293	235
ENSG00000143164	137	50
ENSG00000164076	146	216
ENSG00000279348	316	275
ENSG00000164172	279	577
ENSG00000166348	43	33
ENSG00000143621	181	74
ENSG00000101421	287	146
ENSG00000179091	314	238
ENSG00000175550	276	173
ENSG00000246922	120	100
ENSG00000198380	278	163
ENSG00000163683	284	305
ENSG00000170464	188	382
ENSG00000145241	26	67
ENSG00000130764	399	193
ENSG00000158109	184	258
ENSG00000157693	291	125
ENSG00000116199	212	186
ENSG00000164161	28	29
ENSG00000179010	316	235
ENSG00000167699	201	156
ENSG00000126945	563	450
ENSG00000003987	146	95
ENSG00000135070	439	519
ENSG00000280347	12	36
ENSG00000075415	313	250
ENSG00000091140	255	140
ENSG00000101474	408	420
ENSG00000163798	257	405
ENSG00000124920	31	37
ENSG00000162618	21	4
ENSG00000131143	270	228
ENSG00000163110	79	162
ENSG00000163728	110	152
ENSG00000040341	172	156
ENSG00000135018	376	328
ENSG00000137815	248	261
ENSG00000091640	244	213
ENSG00000171735	56	58
ENSG00000136827	347	395
ENSG00000166257	33	40
ENSG00000114541	35	31
ENSG00000163947	168	41
ENSG00000141385	416	396
ENSG00000136710	214	143
ENSG00000139174	209	285
ENSG00000009844	406	658
ENSG00000189369	73	154
ENSG00000013293	116	180
ENSG00000137409	86	94
ENSG00000166206	65	142
ENSG00000092203	443	438
ENSG00000096384	94	85
ENSG00000187555	578	766
ENSG00000119862	277	208
ENSG00000105221	140	187
ENSG00000198492	431	486
ENSG00000144713	21	27
ENSG00000089199	85	61
ENSG00000004478	10	8
ENSG00000014824	451	409
ENSG00000136738	433	294
ENSG00000099622	5	1
ENSG00000104331	291	206
ENSG00000118402	115	99
ENSG00000170315	132	34
ENSG00000116688	241	289
ENSG00000117118	279	151
ENSG00000117632	97	30
ENSG00000082781	81	135
ENSG00000129250	8	4
ENSG00000164187	293	328
ENSG00000119396	176	187
ENSG00000116161	18	13
ENSG00000198898	155	165
ENSG00000131238	271	91
ENSG00000130956	114	175
ENSG00000184203	172	146
ENSG00000112697	237	250
ENSG00000221823	184	230
ENSG00000173113	206	240
ENSG00000181610	455	396
ENSG00000258890	96	122
ENSG00000104142	244	544
ENSG00000186951	119	187
ENSG00000114405	274	341
ENSG00000189043	67	101
ENSG00000166224	87	178
ENSG00000168824	202	277
ENSG00000115183	77	28
ENSG00000123636	78	113
ENSG00000145623	14	35
ENSG00000165283	201	181
ENSG00000178719	355	159
ENSG00000188674	139	154
ENSG00000143575	246	186
ENSG00000138814	89	96
ENSG00000008735	293	116
ENSG00000184863	53	115
ENSG00000065243	111	229
ENSG00000184831	307	455
ENSG00000130477	160	136
ENSG00000100485	145	226
ENSG00000164588	40	70
ENSG00000126733	143	143
ENSG00000136750	3	7
ENSG00000273079	28	28
ENSG00000184368	176	281
ENSG00000118873	351	277
ENSG00000067992	346	234
ENSG00000152102	193	460
ENSG00000137693	70	97
ENSG00000196950	246	142
ENSG00000127995	317	237
ENSG00000125148	2	1
ENSG00000151948	265	326
ENSG00000159433	54	65
ENSG00000065978	44	22
ENSG00000154822	186	409
ENSG00000031081	83	155
ENSG00000204843	208	301
ENSG00000188313	15	34
ENSG00000160753	121	59
ENSG00000115233	272	144
ENSG00000170445	327	368
ENSG00000109917	244	240
ENSG00000115966	147	118
ENSG00000155304	148	243
ENSG00000185352	52	9
ENSG00000113658	124	138
ENSG00000174780	245	230
ENSG00000074706	90	22
ENSG00000105402	515	617
ENSG00000158805	39	53
ENSG00000105220	369	184
ENSG00000117360	48	71
ENSG00000163938	303	124
ENSG00000175216	267	122
ENSG00000108883	449	184
ENSG00000126698	192	185
ENSG00000114790	51	116
ENSG00000144746	133	162
ENSG00000171703	467	499
ENSG00000154582	351	347
ENSG00000012983	38	131
ENSG00000124194	215	242
ENSG00000123562	426	366
ENSG00000131473	395	269
ENSG00000172209	44	7
ENSG00000114023	147	22
ENSG00000156687	114	20
ENSG00000137726	77	31
ENSG00000254999	330	205
ENSG00000127184	55	45
ENSG00000005249	110	187
ENSG00000088986	161	110
ENSG00000103160	315	317
ENSG00000167123	4	1
ENSG00000146592	6	6
ENSG00000143933	269	79
ENSG00000171914	157	100
ENSG00000078053	62	18
ENSG00000082701	262	286
ENSG00000129691	356	337
ENSG00000176396	242	193
ENSG00000170091	199	327
ENSG00000082074	13	29
ENSG00000127838	20	12
ENSG00000143761	282	51
ENSG00000109787	71	24
ENSG00000182578	9	10
ENSG00000177917	40	87
ENSG00000074603	255	122
ENSG00000139218	100	199
ENSG00000178567	297	144
ENSG00000103266	133	343
ENSG00000263874	255	342
ENSG00000169727	167	165
ENSG00000125841	337	227
ENSG00000135119	193	116
ENSG00000067606	53	193
ENSG00000196177	33	NA
ENSG00000092201	265	236
ENSG00000148229	313	328
ENSG00000152642	313	280
ENSG00000132471	342	267
ENSG00000051382	104	163
ENSG00000136888	285	161
ENSG00000162430	54	29
ENSG00000117153	348	240
ENSG00000183230	10	10
ENSG00000174231	373	432
ENSG00000143815	29	9
ENSG00000091157	199	145
ENSG00000181826	18	17
ENSG00000119401	347	454
ENSG00000181852	343	691
ENSG00000137876	227	515
ENSG00000084731	48	116
ENSG00000157764	349	221
ENSG00000172888	105	125
ENSG00000132824	482	674
ENSG00000204386	37	19
ENSG00000166266	60	26
ENSG00000154027	40	31
ENSG00000158195	81	125
ENSG00000184752	100	201
ENSG00000150753	27	20
ENSG00000184743	26	8
ENSG00000110696	19	1
ENSG00000123091	23	16
ENSG00000157191	61	74
