gene	AD	CTL
ENSG00000280231	100	NA
ENSG00000279641	603	NA
ENSG00000134532	70	128
ENSG00000116096	149	1
ENSG00000173320	71	314
ENSG00000230825	294	NA
ENSG00000260418	69	380
ENSG00000114956	23	40
ENSG00000265905	7	2
ENSG00000271806	205	205
ENSG00000173991	430	156
ENSG00000203705	507	5
ENSG00000075188	187	NA
ENSG00000156486	109	200
ENSG00000112306	66	10
ENSG00000112695	24	18
ENSG00000160703	252	1
ENSG00000138614	211	29
ENSG00000094804	254	NA
ENSG00000183155	40	66
ENSG00000284977	94	37
ENSG00000174796	205	NA
ENSG00000083857	36	78
ENSG00000169962	175	16
ENSG00000109919	405	75
ENSG00000205981	141	1
ENSG00000100749	219	1
ENSG00000100577	249	NA
ENSG00000177427	194	288
ENSG00000271781	136	40
ENSG00000014641	16	36
ENSG00000141480	304	12
ENSG00000130559	105	112
ENSG00000249848	141	105
ENSG00000123453	14	14
ENSG00000189007	124	3
ENSG00000120727	57	328
ENSG00000284747	341	5
ENSG00000159322	193	14
ENSG00000177119	91	135
ENSG00000117305	119	1
ENSG00000205334	369	5
ENSG00000278727	331	31
ENSG00000174738	141	58
ENSG00000253641	10	NA
ENSG00000254986	219	15
ENSG00000204628	39	44
ENSG00000137825	82	56
ENSG00000165533	378	45
ENSG00000236279	103	108
ENSG00000143127	197	NA
ENSG00000279283	80	124
ENSG00000104960	578	49
ENSG00000170835	328	112
ENSG00000110700	58	26
ENSG00000148481	314	23
ENSG00000230929	289	1
ENSG00000119787	97	48
ENSG00000171792	206	34
ENSG00000170681	198	1
ENSG00000112406	256	NA
ENSG00000135341	253	3
ENSG00000153487	52	18
ENSG00000226690	43	3
ENSG00000141579	178	186
ENSG00000106804	290	25
ENSG00000168453	145	2
ENSG00000253304	121	145
ENSG00000166851	342	53
ENSG00000103707	314	15
ENSG00000117362	111	NA
ENSG00000101624	108	83
ENSG00000138326	54	12
ENSG00000287771	8	5
ENSG00000084731	94	162
ENSG00000279071	88	112
ENSG00000156521	269	NA
ENSG00000138279	227	8
ENSG00000205488	93	25
ENSG00000177600	50	64
ENSG00000093167	40	34
ENSG00000137815	309	89
ENSG00000163558	50	8
ENSG00000259706	91	NA
