gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000092529	1	4	-3	-0.07108984840735251	0.07279029462738301	0.19076504085169596	-0.11797474622431295	Control
ENSG00000124203	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000104979	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000091542	4	61	-57	-0.8019464346309692	0.2896756622926467	0.660807130477841	-0.3711314681851943	Control
ENSG00000234745	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000115604	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000204650	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000061337	2	4	-2	-0.057555467180989243	0.18209952958653133	0.19076504085169596	-0.008665511265164627	Control
ENSG00000182841	2	3	-1	-0.04402108595462597	0.18209952958653133	0.15139886110423373	0.030700668482297605	Control
ENSG00000141543	4	1	3	0.010116438950827119	0.2896756622926467	0.03986135181975736	0.24981431047288932	AD
ENSG00000168701	3	2	1	-0.016952323501899427	0.2442436246595692	0.10497647932656598	0.13926714533300322	AD
ENSG00000204472	1	12	-11	-0.1793648982182587	0.07279029462738301	0.36568457538994803	-0.292894280762565	Control
ENSG00000198089	1	3	-2	-0.057555467180989243	0.07279029462738301	0.15139886110423373	-0.07860856647685072	Control
ENSG00000159216	1	21	-20	-0.3011743292555282	0.07279029462738301	0.46521416192126763	-0.3924238672938846	Control
ENSG00000010404	5	33	-28	-0.4094493790664343	0.3247090864075266	0.5590492696211934	-0.2343401832136668	Control
ENSG00000101871	6	15	-9	-0.15229613576553216	0.35528596187175043	0.4067838573904432	-0.05149789551869277	Control
ENSG00000128203	1	105	-104	-1.4380623522700429	0.07279029462738301	0.7376825947016589	-0.6648923000742759	Control
ENSG00000100823	5	15	-10	-0.16583051699189544	0.3247090864075266	0.4067838573904432	-0.0820747709829166	Control
ENSG00000205138	3	82	-79	-1.0997028216109612	0.2442436246595692	0.7043822728398118	-0.46013864818024264	Control
ENSG00000141639	5	5	0	-0.030486704728262697	0.3247090864075266	0.22295122555087893	0.10175786085664767	Control
ENSG00000224812	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000168092	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
ENSG00000067840	6	12	-6	-0.11169299208644234	0.35528596187175043	0.36568457538994803	-0.010398613518197597	Control
ENSG00000130749	1	1	0	-0.030486704728262697	0.07279029462738301	0.03986135181975736	0.03292894280762565	Control
