gene	AD	CTL
ENSG00000135439	108	8
ENSG00000182578	8	17
ENSG00000110931	344	237
ENSG00000165995	259	109
ENSG00000163818	181	403
ENSG00000054356	331	349
ENSG00000181754	336	498
ENSG00000110987	351	338
ENSG00000152822	252	114
ENSG00000204442	385	81
ENSG00000115839	192	227
ENSG00000139970	442	2
ENSG00000162639	381	77
ENSG00000171798	175	113
ENSG00000189159	443	198
ENSG00000166780	346	291
ENSG00000159363	226	365
ENSG00000205629	119	119
ENSG00000138134	353	115
ENSG00000128594	286	203
ENSG00000107282	412	14
ENSG00000248905	212	8
ENSG00000135749	153	NA
ENSG00000152954	181	64
ENSG00000170091	232	175
ENSG00000212907	9	16
ENSG00000173898	71	35
ENSG00000078140	347	352
ENSG00000112640	41	116
ENSG00000164742	290	65
ENSG00000020129	201	183
ENSG00000110148	139	134
ENSG00000069329	314	573
ENSG00000102934	16	106
ENSG00000259234	370	177
ENSG00000106723	386	431
ENSG00000176396	280	585
ENSG00000182247	188	38
ENSG00000154162	280	170
ENSG00000103723	237	261
ENSG00000144355	10	17
ENSG00000113558	67	46
ENSG00000156011	279	270
ENSG00000183775	286	329
ENSG00000247556	393	122
ENSG00000149582	351	577
ENSG00000135426	204	35
ENSG00000176490	474	447
ENSG00000088538	189	NA
ENSG00000204899	328	88
ENSG00000113638	405	433
ENSG00000145428	300	153
ENSG00000143412	5	71
ENSG00000143155	324	210
ENSG00000153815	414	68
ENSG00000048740	284	77
ENSG00000105376	177	221
ENSG00000105220	375	46
ENSG00000092051	369	158
ENSG00000086061	4	1
ENSG00000115944	92	51
ENSG00000272321	226	73
ENSG00000184207	368	482
ENSG00000084444	388	526
ENSG00000133026	336	371
ENSG00000177614	277	283
ENSG00000129159	153	77
ENSG00000198739	138	244
ENSG00000182836	343	18
ENSG00000169282	296	109
ENSG00000108509	93	118
ENSG00000157214	281	110
ENSG00000084070	291	21
ENSG00000186047	334	197
ENSG00000113387	83	201
ENSG00000160963	140	77
ENSG00000129250	7	55
ENSG00000171509	85	3
ENSG00000124243	303	273
ENSG00000069345	383	104
ENSG00000091622	335	66
ENSG00000182568	138	25
ENSG00000123352	246	230
ENSG00000100095	462	66
ENSG00000163947	261	338
ENSG00000116299	369	126
ENSG00000078902	302	515
ENSG00000188021	449	368
ENSG00000166619	235	74
ENSG00000072062	83	169
ENSG00000188573	190	288
ENSG00000005486	102	37
ENSG00000168824	97	471
ENSG00000198786	8	15
ENSG00000180720	472	213
ENSG00000286214	345	198
ENSG00000228794	205	225
ENSG00000143858	3	2
ENSG00000084731	129	210
ENSG00000126583	202	105
ENSG00000104093	316	172
ENSG00000164924	320	173
ENSG00000186260	377	241
ENSG00000105193	2	31
ENSG00000081985	336	113
ENSG00000085831	52	33
ENSG00000115252	209	56
ENSG00000124570	347	411
ENSG00000008118	252	61
ENSG00000134343	205	92
ENSG00000232040	213	289
ENSG00000174437	410	446
ENSG00000171603	297	253
ENSG00000104325	1	1
ENSG00000166579	200	466
ENSG00000179388	207	61
ENSG00000134717	32	19
ENSG00000156515	331	302
ENSG00000182674	287	37
ENSG00000050030	466	377
ENSG00000197444	298	216
ENSG00000080815	14	200
ENSG00000164124	12	94
ENSG00000115641	327	198
ENSG00000100320	276	306
ENSG00000135362	16	175
ENSG00000226762	239	324
ENSG00000112812	341	45
ENSG00000070214	30	202
ENSG00000183020	194	85
ENSG00000096092	194	44
ENSG00000178567	141	NA
ENSG00000183307	374	225
ENSG00000115762	173	178
ENSG00000268182	385	313
ENSG00000273820	226	358
ENSG00000168159	130	117
ENSG00000171224	289	553
ENSG00000149654	256	119
ENSG00000143013	266	127
ENSG00000145545	90	436
ENSG00000131779	256	217
ENSG00000156711	159	223
ENSG00000165731	249	131
ENSG00000240771	185	364
ENSG00000198216	110	88
ENSG00000171246	216	223
ENSG00000174469	322	276
ENSG00000116353	11	90
ENSG00000204389	3	1
ENSG00000121769	89	98
ENSG00000162981	95	46
ENSG00000185361	306	152
ENSG00000139998	98	167
ENSG00000106683	93	26
ENSG00000288062	160	34
ENSG00000108309	253	163
ENSG00000057757	54	45
ENSG00000218336	156	23
ENSG00000165152	345	313
ENSG00000106123	154	49
ENSG00000105613	5	NA
ENSG00000085377	192	284
ENSG00000165061	119	49
ENSG00000206052	313	36
ENSG00000260328	392	374
ENSG00000198626	102	152
ENSG00000163399	275	252
ENSG00000165914	372	12
ENSG00000147488	30	202
ENSG00000122012	10	3
ENSG00000143952	220	298
ENSG00000065559	257	355
ENSG00000165300	127	16
ENSG00000092096	7	201
ENSG00000241878	388	302
ENSG00000171724	257	24
ENSG00000134108	17	322
ENSG00000272031	120	373
ENSG00000072832	50	160
ENSG00000233384	230	NA
ENSG00000204138	197	88
ENSG00000153310	250	46
ENSG00000082397	281	NA
ENSG00000125848	296	360
ENSG00000163590	232	349
ENSG00000198929	249	NA
ENSG00000179115	143	302
ENSG00000009709	272	127
ENSG00000142408	333	80
ENSG00000076826	161	166
ENSG00000263874	283	122
ENSG00000163029	1	4
ENSG00000136003	351	333
ENSG00000146147	133	93
ENSG00000213186	20	126
ENSG00000155974	249	160
ENSG00000100077	248	88
ENSG00000141380	235	376
ENSG00000143153	219	NA
ENSG00000213424	267	352
ENSG00000178467	121	153
ENSG00000144635	210	311
ENSG00000015676	93	180
ENSG00000102678	126	26
ENSG00000166508	6	79
ENSG00000119801	190	485
ENSG00000183837	477	233
ENSG00000147655	357	242
ENSG00000172575	198	6
ENSG00000157483	21	167
ENSG00000119771	66	55
ENSG00000170786	317	211
ENSG00000148606	225	408
ENSG00000198886	11	21
ENSG00000143499	164	75
ENSG00000150051	63	3
ENSG00000141384	376	472
ENSG00000198597	9	140
ENSG00000102226	190	250
ENSG00000065989	321	10
ENSG00000138496	3	6
ENSG00000198863	336	667
ENSG00000167699	29	236
ENSG00000166685	103	89
ENSG00000137100	316	157
ENSG00000119946	123	21
ENSG00000117245	177	55
ENSG00000188859	102	127
ENSG00000187122	143	32
ENSG00000125966	273	86
ENSG00000166006	394	99
ENSG00000176884	144	9
ENSG00000019582	4	2
ENSG00000162511	17	7
ENSG00000221823	97	8
ENSG00000164129	213	141
ENSG00000128285	465	357
ENSG00000275004	339	96
ENSG00000111262	200	50
ENSG00000175352	195	257
ENSG00000172508	12	78
ENSG00000106443	222	141
