gene	AD	CTL
ENSG00000197386	81	241
ENSG00000266472	109	40
ENSG00000178171	286	276
ENSG00000167680	63	175
ENSG00000161057	101	101
ENSG00000104427	194	74
ENSG00000168314	9	9
ENSG00000114790	114	56
ENSG00000232434	49	100
ENSG00000162639	267	110
ENSG00000055070	71	73
ENSG00000130758	58	95
ENSG00000099364	90	212
ENSG00000159377	74	20
ENSG00000111218	244	161
ENSG00000152931	262	65
ENSG00000172375	277	422
ENSG00000006128	26	6
ENSG00000185272	237	24
ENSG00000167778	281	264
ENSG00000170921	168	226
ENSG00000187601	325	492
ENSG00000163468	7	9
ENSG00000233508	324	64
ENSG00000240764	225	191
ENSG00000091656	91	14
ENSG00000233705	354	266
ENSG00000174996	342	347
ENSG00000250020	31	64
ENSG00000144227	218	35
ENSG00000177971	75	76
ENSG00000185008	279	171
ENSG00000075790	384	244
ENSG00000118898	254	272
ENSG00000172336	274	370
ENSG00000076554	251	50
ENSG00000143164	279	400
ENSG00000122733	254	447
ENSG00000108094	299	580
ENSG00000186260	265	159
ENSG00000151952	223	413
ENSG00000128609	197	132
ENSG00000110514	161	330
ENSG00000198612	209	125
ENSG00000005249	195	30
ENSG00000181754	228	316
ENSG00000168993	49	86
ENSG00000157445	96	37
ENSG00000174437	299	550
ENSG00000133816	152	224
ENSG00000196305	212	122
ENSG00000196950	328	427
ENSG00000110171	227	206
ENSG00000141367	377	384
ENSG00000186288	363	235
ENSG00000124688	201	261
ENSG00000072062	278	189
ENSG00000147655	345	242
ENSG00000117016	164	280
ENSG00000145730	235	284
ENSG00000110931	423	259
ENSG00000077152	181	38
ENSG00000138207	219	258
ENSG00000225697	19	13
ENSG00000172031	373	88
ENSG00000166579	316	543
ENSG00000215712	297	340
ENSG00000169231	10	13
ENSG00000228474	10	24
ENSG00000146072	177	210
ENSG00000163618	339	136
ENSG00000101152	202	405
ENSG00000177511	481	328
ENSG00000196542	305	90
ENSG00000055130	299	396
ENSG00000136750	255	105
ENSG00000137727	134	286
ENSG00000142655	67	153
ENSG00000241859	4	24
ENSG00000170214	56	95
ENSG00000126461	106	261
ENSG00000121753	98	206
ENSG00000146006	325	47
ENSG00000021645	190	145
ENSG00000100852	72	41
ENSG00000136842	228	43
ENSG00000170786	374	243
ENSG00000102078	261	124
ENSG00000171435	89	48
ENSG00000113558	169	108
ENSG00000163013	80	201
ENSG00000241973	332	464
ENSG00000132975	346	187
ENSG00000176749	197	147
ENSG00000182916	244	179
ENSG00000151322	10	14
ENSG00000143520	4	21
ENSG00000180440	414	385
ENSG00000116731	57	20
ENSG00000204580	34	63
ENSG00000130226	118	218
ENSG00000189410	259	97
ENSG00000071054	34	6
ENSG00000148411	64	56
ENSG00000066422	74	112
ENSG00000165985	214	194
ENSG00000136942	5	18
ENSG00000158286	13	36
ENSG00000075651	5	6
ENSG00000163818	288	219
ENSG00000225359	13	24
