gene	AD	CTL
ENSG00000184900	579	562
ENSG00000068383	229	231
ENSG00000153956	305	366
ENSG00000013297	36	29
ENSG00000162694	32	15
ENSG00000169891	370	371
ENSG00000165572	430	266
ENSG00000197457	205	238
ENSG00000243679	150	232
ENSG00000132341	272	211
ENSG00000185090	231	188
ENSG00000169255	270	236
ENSG00000145293	197	103
ENSG00000168970	58	192
ENSG00000077092	59	19
ENSG00000149575	224	256
ENSG00000198689	389	285
ENSG00000184465	113	315
ENSG00000109920	60	77
ENSG00000130724	196	152
ENSG00000188582	177	61
ENSG00000171603	246	113
ENSG00000136827	346	427
ENSG00000167755	14	44
ENSG00000145247	227	149
ENSG00000170921	138	54
ENSG00000163516	14	15
ENSG00000123338	25	72
ENSG00000101152	353	300
ENSG00000167555	141	367
ENSG00000169992	269	78
ENSG00000181610	458	394
ENSG00000166848	279	44
ENSG00000163634	248	107
ENSG00000176700	158	202
ENSG00000104435	205	26
ENSG00000254999	144	154
ENSG00000115520	177	166
ENSG00000158815	64	58
ENSG00000085415	289	166
ENSG00000206527	248	395
ENSG00000157741	102	114
ENSG00000270344	83	221
ENSG00000095002	142	34
ENSG00000065548	150	66
ENSG00000171840	27	35
ENSG00000067715	131	93
ENSG00000197249	13	41
ENSG00000267632	57	178
ENSG00000176155	122	300
ENSG00000215021	69	85
ENSG00000100764	108	60
ENSG00000145425	5	12
ENSG00000173209	92	225
ENSG00000163536	108	221
ENSG00000114383	226	196
ENSG00000116688	187	188
ENSG00000177182	90	104
ENSG00000102978	122	56
ENSG00000172292	55	60
ENSG00000123178	107	65
ENSG00000111669	258	135
ENSG00000280660	93	180
ENSG00000086205	42	80
ENSG00000106829	100	28
ENSG00000259070	30	37
ENSG00000060140	123	77
ENSG00000170606	7	7
ENSG00000260244	137	205
ENSG00000140750	141	182
ENSG00000154124	50	100
ENSG00000130520	244	270
ENSG00000167615	132	257
ENSG00000118402	205	167
ENSG00000129538	12	32
ENSG00000110931	183	238
ENSG00000104738	218	144
ENSG00000068831	54	90
ENSG00000150867	26	67
ENSG00000280287	108	278
ENSG00000073605	132	214
ENSG00000177098	57	86
ENSG00000073464	194	383
ENSG00000163655	281	141
ENSG00000176454	220	223
ENSG00000065923	193	62
ENSG00000196072	251	160
ENSG00000156261	57	9
ENSG00000129484	232	221
ENSG00000253719	152	179
ENSG00000187323	161	133
ENSG00000170846	148	141
ENSG00000119688	43	112
ENSG00000106772	11	7
ENSG00000066422	120	22
ENSG00000198597	46	67
ENSG00000126457	230	204
ENSG00000124243	317	165
ENSG00000175445	56	49
ENSG00000146476	280	114
ENSG00000129691	70	174
ENSG00000177971	225	106
ENSG00000118473	178	324
ENSG00000261451	24	192
ENSG00000134440	314	255
ENSG00000106105	192	51
ENSG00000114942	28	94
ENSG00000188596	10	43
ENSG00000067992	352	257
ENSG00000173369	15	49
ENSG00000074410	105	8
ENSG00000141522	199	147
ENSG00000172301	302	168
ENSG00000214765	31	76
ENSG00000132780	39	128
ENSG00000140262	12	79
ENSG00000179262	242	101
ENSG00000184408	65	71
ENSG00000115665	13	12
ENSG00000175352	104	182
ENSG00000075539	43	50
ENSG00000151229	133	159
ENSG00000164129	206	179
ENSG00000278864	88	209
ENSG00000172548	25	25
ENSG00000243970	125	256
ENSG00000181218	349	78
ENSG00000264538	83	147
ENSG00000067842	469	482
ENSG00000011347	88	168
ENSG00000101444	286	121
ENSG00000116752	128	153
ENSG00000082482	59	14
ENSG00000177383	77	118
ENSG00000225206	15	98
ENSG00000023572	154	219
ENSG00000003402	73	162
ENSG00000114923	170	131
ENSG00000169116	241	55
ENSG00000280063	96	121
ENSG00000070718	250	329
ENSG00000131370	200	36
ENSG00000147224	142	171
ENSG00000135002	215	304
ENSG00000114956	169	23
ENSG00000065613	204	258
ENSG00000088832	299	129
ENSG00000147130	258	120
ENSG00000107874	122	76
ENSG00000134001	89	123
ENSG00000077348	238	425
ENSG00000162378	115	42
ENSG00000116199	304	245
ENSG00000171703	414	211
ENSG00000168374	76	43
ENSG00000082074	14	41
ENSG00000151247	158	171
ENSG00000154305	333	164
ENSG00000154493	51	95
ENSG00000130770	127	114
ENSG00000163468	6	6
ENSG00000185477	4	19
ENSG00000021645	140	232
ENSG00000188976	200	145
ENSG00000204186	140	33
ENSG00000136842	93	6
ENSG00000198925	49	30
ENSG00000198668	361	429
ENSG00000230715	101	107
ENSG00000113360	207	166
ENSG00000167123	9	11
ENSG00000197694	272	227
ENSG00000168032	18	25
ENSG00000088812	317	529
ENSG00000158715	25	58
ENSG00000131174	272	305
ENSG00000280388	71	71
ENSG00000102078	550	523
ENSG00000102466	120	57
ENSG00000171163	38	91
ENSG00000100216	291	256
ENSG00000166170	355	201
ENSG00000231889	121	248
ENSG00000188612	5	14
ENSG00000116288	38	33
ENSG00000175229	49	69
ENSG00000141540	58	73
ENSG00000119509	59	131
ENSG00000176444	24	23
ENSG00000116750	80	229
ENSG00000279277	43	147
ENSG00000111726	299	194
ENSG00000080822	48	59
ENSG00000070214	33	42
ENSG00000182255	113	13
ENSG00000144535	86	157
ENSG00000107223	141	89
ENSG00000174953	87	42
ENSG00000030066	49	118
ENSG00000162814	6	4
ENSG00000143155	255	193
ENSG00000107560	93	83
ENSG00000108953	264	255
ENSG00000233532	264	332
ENSG00000180353	7	57
ENSG00000108946	62	116
ENSG00000171490	70	14
ENSG00000162624	3	9
ENSG00000176720	9	6
ENSG00000182220	200	134
ENSG00000186479	27	46
ENSG00000150510	36	34
ENSG00000135070	73	16
ENSG00000270562	35	59
ENSG00000179388	180	124
ENSG00000116918	17	33
ENSG00000157827	8	10
ENSG00000196581	89	169
ENSG00000160710	274	107
ENSG00000108309	152	118
ENSG00000206535	197	145
ENSG00000198301	155	130
ENSG00000171160	296	128
ENSG00000175309	61	168
ENSG00000243319	20	73
ENSG00000170153	23	49
ENSG00000129450	8	61
ENSG00000101911	400	266
ENSG00000114270	24	27
ENSG00000013293	180	108
