gene	region	logFC	t	adj.P.Val	B	direction	label
ENSG00000259685	CRB	-0.8322364378003595	-4.028438078070622	0.00357597163514217	1.2353616393222788	Underexpressed	IDH2-DT
ENSG00000279332	CRB	-0.6799673096261087	-4.015545348821686	0.0035781175503128	1.2270326441001878	Underexpressed	NA
ENSG00000183066	CRB	-0.6088916861396649	-4.014613890008792	0.00358495294968315	1.223749312978736	Underexpressed	WBP2NL
ENSG00000228775	CRB	-0.5380397737186868	-4.013578278345491	0.00359325843209962	1.2200995833522983	Underexpressed	WEE2-AS1
ENSG00000215086	CRB	0.6250390803753882	4.012962402549306	0.00359574279641395	1.217929464061963	Overexpressed	NPM1P24
ENSG00000006757	CRB	-0.5994531099264488	-4.012389817836848	0.00359763522724	1.2159121316571513	Underexpressed	PNPLA4
ENSG00000185614	CRB	-0.657940511847797	-4.0109159060250965	0.00361211765139713	1.2107203269612177	Underexpressed	INKA1
ENSG00000196242	CRB	1.1328290198798232	4.026603765045448	0.003643842073925	1.2091903819803305	Overexpressed	OR2C3
ENSG00000270194	CRB	-0.5812082171495883	-4.007719973983688	0.003643842073925	1.1994681407832148	Underexpressed	GOLGA4-AS1
ENSG00000274356	CRB	0.7598393054968557	4.015898315366543	0.003643842073925	1.202523584330267	Overexpressed	NA
ENSG00000198185	CRB	-0.7250681222464195	-4.004758110835849	0.00367440242602897	1.189046633710876	Underexpressed	ZNF334
ENSG00000247271	CRB	-0.5732918382552299	-4.001030392076237	0.00372148609544731	1.175939405576807	Underexpressed	ZBED5-AS1
ENSG00000266852	CRB	0.7171313517067217	3.99757365233202	0.00376520544493575	1.163793940042308	Overexpressed	MIR4482
ENSG00000112541	CRB	-0.7136385294867917	-3.9963987875879448	0.0037760174272142002	1.159667945024481	Underexpressed	PDE10A
ENSG00000123454	CRB	-0.563068742081966	-3.9935452015573327	0.00380340607993169	1.149650616662978	Underexpressed	DBH
ENSG00000198691	CRB	0.6512534341400915	3.993264876788398	0.00380340607993169	1.148666872000775	Overexpressed	ABCA4
ENSG00000227359	CRB	0.7327406565310342	3.993233463931065	0.00380340607993169	1.1485566382905965	Overexpressed	LINC02936
ENSG00000286404	CRB	0.7477713859813524	3.991635062899574	0.00381464048683693	1.142948485000777	Overexpressed	NA
ENSG00000227908	CRB	-0.8590601073430975	-4.004101446792447	0.00381464048683693	1.1492520361173328	Underexpressed	IL6ST-DT
ENSG00000214279	CRB	-0.7281521797506922	-3.994116091853552	0.00383418514698851	1.1388977045588593	Underexpressed	SCART1
ENSG00000272564	CRB	-0.611889478124179	-3.988756923333171	0.00384413205455663	1.1328548928671438	Underexpressed	NA
ENSG00000172548	CRB	-0.7000845135994291	-3.990540041262176	0.00386123327252426	1.129048653896661	Underexpressed	NIPAL4
ENSG00000207561	CRB	-0.5074850723063582	-3.9848173059094543	0.00389011446695353	1.1190484210283618	Underexpressed	MIR635
ENSG00000153789	CRB	-1.0724573665676846	-4.001611235131153	0.00390808751438824	1.1227970351513914	Underexpressed	CIBAR2
ENSG00000235618	CRB	-0.5640066097243386	-3.9818922411067903	0.00391620125398831	1.1088047304349162	Underexpressed	FAM21EP
ENSG00000170577	CRB	0.8408205175758656	3.987815457083293	0.00391620125398831	1.1115939999920093	Overexpressed	SIX2
ENSG00000158019	CRB	-0.5910367593753252	-3.9807181237487272	0.0039186287478503	1.1046946667347193	Underexpressed	BABAM2
ENSG00000254510	CRB	-0.7729698583254114	-3.9896914932777854	0.0039186287478503	1.108456899032717	Underexpressed	NA
ENSG00000235927	CRB	0.6205174818295625	3.98037416790334	0.0039186287478503	1.1034908189061312	Overexpressed	NEXN-AS1
ENSG00000255857	CRB	-0.6093083401184183	-3.979625665642968	0.00392030007665738	1.100871351710575	Underexpressed	PXN-AS1
ENSG00000168079	CRB	1.2964978558344535	3.9980448464300906	0.00392030007665738	1.109703095971757	Overexpressed	SCARA5
ENSG00000254675	CRB	-0.6978096621140155	-3.981226984421819	0.00392179314603106	1.099532062160664	Underexpressed	NA
ENSG00000272562	CRB	-0.6069042032176091	-3.977682666887159	0.00393383560592481	1.094073503224764	Underexpressed	H3-3A-DT
ENSG00000237200	CRB	0.7356640423479393	3.97679989895277	0.00393498920056803	1.0909859210198674	Overexpressed	ZBTB40-IT1
ENSG00000270808	CRB	0.6281303344944504	3.976767792222145	0.00393498920056803	1.090873634676318	Overexpressed	NA
ENSG00000228878	CRB	-0.5127775396016716	-3.9757168750993954	0.00394457291934677	1.087198691474188	Underexpressed	SEPTIN7-DT
ENSG00000270547	CRB	-0.6056146302689731	-3.974628480918215	0.00395475688316857	1.083393538106904	Underexpressed	LINC01235
ENSG00000232453	CRB	-0.5255365211979823	-3.9707985542534505	0.00399122877097354	1.0700104886480195	Underexpressed	LINC02777
ENSG00000169314	CRB	-0.598762927834712	-3.970763281911871	0.00399122877097354	1.0698872846339258	Underexpressed	C22orf15
ENSG00000270959	CRB	-0.6454989669185247	-3.970569005266974	0.00399122877097354	1.0692087050023362	Underexpressed	LPP-AS2
ENSG00000230368	CRB	0.8882327690708687	3.985174382217208	0.00399122877097354	1.0749755312612548	Overexpressed	FAM41C
ENSG00000177994	CRB	-0.5127474508401422	-3.969948274347219	0.00399122877097354	1.0670407668725543	Underexpressed	CIMIP6
ENSG00000270882	CRB	1.1220545106525242	3.98531891269072	0.00399122877097354	1.0743574379996683	Overexpressed	H4C14
ENSG00000112183	CRB	-0.7286085071173147	-3.9727501234785536	0.00399834976529963	1.0649305156676316	Underexpressed	RBM24
ENSG00000265683	CRB	-0.7550270654348696	-3.968454776180904	0.00399834976529963	1.0618257836276657	Underexpressed	SYPL1P2
ENSG00000235236	CRB	-0.5836948197190455	-3.967628013452604	0.00400471692404495	1.0589395963475816	Underexpressed	NA
ENSG00000184313	CRB	-0.6752615918196856	-3.9668475470744897	0.00401038946922831	1.056215482006463	Underexpressed	MROH7
ENSG00000168589	CRB	-0.5257538931054917	-3.9661545312548063	0.00401473042778	1.0537969724293257	Underexpressed	DYNLRB2
ENSG00000203876	CRB	-0.5449227274278892	-3.960754686381964	0.00409231819549528	1.0349643460349789	Underexpressed	ADD3-AS1
ENSG00000158113	CRB	-0.5803688203402713	-3.959332850251344	0.00410043458761633	1.0300090354689182	Underexpressed	LRRC43
ENSG00000255148	CRB	0.8079053829244707	3.9590086233414183	0.00410043458761633	1.0288792618689433	Overexpressed	NA
ENSG00000267781	CRB	0.5589560337866404	3.958478401441164	0.00410234724400852	1.0270318600198074	Overexpressed	SLC25A36P1
ENSG00000154608	CRB	0.7897205045686206	3.953556229201301	0.00420334040909968	1.0044636026487297	Overexpressed	CEP170P1
ENSG00000278876	CRB	-0.6008313251156014	-3.9512516732800824	0.00420433780424625	1.001872810116593	Underexpressed	NA
ENSG00000249790	CRB	-0.8073615122665547	-3.9500272938689864	0.00420542315478724	0.997614027954998	Underexpressed	LINC02972
ENSG00000286232	CRB	-0.6832847245694191	-3.950011624690544	0.00420542315478724	0.9975595326146492	Underexpressed	NA
ENSG00000257135	CRB	-0.7942331353838101	-3.961731585328902	0.00420542315478724	1.0035119743239251	Underexpressed	ODC1-DT
ENSG00000273174	CRB	0.5444987739140119	3.948834020888019	0.00421599820772845	0.9934644922606192	Overexpressed	NA
ENSG00000224963	CRB	-0.5855636886520621	-3.948118639435885	0.00421599820772845	0.9909772921507534	Underexpressed	ECMXP
ENSG00000257893	CRB	-0.9971464832714488	-3.95306831351047	0.00421599820772845	0.9921537559343374	Underexpressed	LINC02404
ENSG00000101282	CRB	-0.6226036007877838	-3.9469572060074927	0.00421599820772845	0.9869400746720648	Underexpressed	RSPO4
ENSG00000239407	CRB	0.515796593271669	3.9465011563769594	0.00421599820772845	0.9853550849251658	Overexpressed	NA
ENSG00000234988	CRB	-0.8737175069179164	-3.946238082396558	0.00421599820772845	0.9844408462871116	Underexpressed	LINC01849
ENSG00000142661	CRB	0.7937735166589528	3.956386022484837	0.00421599820772845	0.9882994241435936	Overexpressed	MYOM3
ENSG00000237179	CRB	-0.6533833080091407	-3.945625357755272	0.00421599820772845	0.9823116915519244	Underexpressed	LINC01797
ENSG00000227533	CRB	-0.6293920331198004	-3.945279847545825	0.00421599820772845	0.9811111997097576	Underexpressed	SLC2A1-DT
ENSG00000277479	CRB	0.6871775347588631	3.940617709785952	0.00428422337935829	0.9649208693744936	Overexpressed	NA
ENSG00000136514	CRB	-0.736513671850969	-3.9403078695175866	0.00428422337935829	0.9637655784593636	Underexpressed	RTP4
ENSG00000259459	CRB	-0.5822850131994777	-3.9375616199579544	0.00432235812603414	0.9543164871919824	Underexpressed	LINC02568
ENSG00000162344	CRB	-0.8875459992028492	-3.932650295797728	0.00440810748621061	0.9347851170526916	Underexpressed	FGF19
ENSG00000073756	CRB	0.8145934871662055	3.943376936340334	0.00440810748621061	0.9390029923227514	Overexpressed	PTGS2
ENSG00000101280	CRB	-0.6763324700708502	-3.931219858085011	0.00440810748621061	0.9323327914500714	Underexpressed	ANGPT4
