gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000049245	0.16566104556415162	11.80913747401433	1.89131309257206	0.060516442034272616	0.15613105129815108	-4.511908000601046
ENSG00000101945	-0.115907612382804	8.194006198691321	-1.8909084898701363	0.06056992319042442	0.15623746204152977	-4.512625994735862
ENSG00000265136	0.28485345285601316	3.625885431825442	1.890875114044842	0.06057516301861691	0.15623746204152977	-4.512689252652564
ENSG00000237017	0.2403384814255478	4.785022499645051	1.8908535776049065	0.06057823812133327	0.15623746204152977	-4.512728574777455
ENSG00000230565	0.19609442467286353	5.256951652260285	1.8906927268037912	0.06059921958557062	0.15627390333425023	-4.51301253430102
ENSG00000011009	-0.059832903439607676	10.16375123574564	-1.8902214420333887	0.0606621810875911	0.15641858270940534	-4.5138514734876
ENSG00000176183	-0.24692823413755072	3.676799078076907	-1.8899680086226853	0.060696729913311216	0.1564745599451478	-4.514305787153065
ENSG00000244734	-0.5994946117224913	11.154818574279469	-1.8899499206744073	0.06069991699765392	0.1564745599451478	-4.514341717562795
ENSG00000225840	0.5722854744856289	1.6587528570291512	1.8899161176841988	0.060704472591514354	0.1564745599451478	-4.514402045972021
ENSG00000128590	0.0935524824577243	10.592869989829895	1.8894266173766576	0.060769939747725155	0.15662560920175925	-4.515272949458075
ENSG00000183186	-0.15997601970119923	10.52664902042799	-1.8893138459570789	0.060785688107455	0.15664849589454535	-4.515476752002052
ENSG00000130699	0.08105389079141467	9.413739015067057	1.8891941961299017	0.06080067930310782	0.15666942637735623	-4.515684617057909
ENSG00000228484	0.2240105676762285	6.381312963343638	1.8890149642588185	0.06082602564260872	0.15671703195108191	-4.516009961630502
ENSG00000205424	0.36802752398183114	2.006288424256309	1.8889507294187389	0.06083437010813477	0.1567208267317553	-4.516122958267196
ENSG00000254198	0.16878078910240113	6.0205927951347995	1.8888455127744197	0.06084815508877657	0.1567386348666961	-4.516308595390727
ENSG00000133835	0.11296854176157112	12.77933359443739	1.8887018870713055	0.060867893014432295	0.1567717714263306	-4.516566423992655
ENSG00000276462	-0.3895249591209913	8.009298380842745	-1.8886293936033172	0.0608780959398366	0.15678034486222373	-4.516697707145173
ENSG00000161970	-0.11266364672127693	10.047650884676562	-1.8884437287965217	0.06090318278304354	0.15682724282859592	-4.517028831319022
ENSG00000156531	0.06834702361646094	10.287126192263063	1.8881814106212764	0.06093748686161958	0.15689786214190088	-4.517491027413831
ENSG00000127838	-0.13619570434340034	11.789102276105128	-1.8880830236620376	0.06095194562893766	0.15691737486840288	-4.517672042873634
ENSG00000078596	0.2526899556593829	11.818926375050985	1.8879826018649657	0.06096552721844802	0.1569346251999034	-4.51785109481636
ENSG00000205578	0.3144637876768903	3.3261542331246585	1.8878560275047636	0.060982649429854055	0.1569609847135404	-4.518076763837467
ENSG00000092758	-0.24008781487265907	10.905165258863738	-1.8876112666394267	0.06101577060754219	0.15702851277885518	-4.518513106360526
ENSG00000288066	-0.09884055894650423	8.346240733544636	-1.8874807268964562	0.06103228622643798	0.15705329481737232	-4.518740231668991
ENSG00000140025	-0.13986533615271313	7.817271630980169	-1.8871159121248573	0.06108231127997386	0.15715254147842597	-4.5193934393982795
ENSG00000274265	-0.18841980083971777	7.928231599827097	-1.8871027208922402	0.06108463542799344	0.15715254147842597	-4.519419533950716
ENSG00000174460	-0.34604240720037716	9.51081547884754	-1.8868874192378122	0.061113810129161145	0.1572098655104645	-4.519803215747984
ENSG00000103512	-0.08929270879839812	11.145060036325773	-1.8866319489650059	0.0611476922695606	0.15727928471770256	-4.520254818740021
ENSG00000149305	-0.350947294315036	8.090537341922184	-1.8865589475444757	0.06115834252632715	0.15728893978325928	-4.5203884937808825
ENSG00000173611	-0.19921600375850623	10.677945402539011	-1.886438769558474	0.06117464238235733	0.15730579199364494	-4.520602605310169
ENSG00000205502	0.3696162321903138	4.4741630329312345	1.8863619032706045	0.06118506973646324	0.15730579199364494	-4.520739545036124
ENSG00000286542	-0.22449372856370875	4.5876288324764625	-1.8863546733002692	0.06118558691522885	0.15730579199364494	-4.520750199311068
ENSG00000103494	-0.12240568885820657	8.977762265707238	-1.886236908573242	0.06120196581144787	0.15732896817907793	-4.520961911745804
ENSG00000162888	0.38231189750887484	2.2505328238177764	1.886189975833642	0.06120839806432054	0.15732896817907793	-4.521045819987245
ENSG00000173064	0.11707615249769532	12.627007967520159	1.8861253552194939	0.06121707320166041	0.15733353487832644	-4.521160474087377
ENSG00000249216	0.270005975808409	3.1605961837046768	1.8859438966282702	0.061241049734556956	0.1573774221178637	-4.521480544552017
ENSG00000132471	-0.10188602701204275	13.543897105523188	-1.8843980865335506	0.061450820381467555	0.1578793727226061	-4.524230833171277
ENSG00000084754	0.10423025665817853	12.202093476862268	1.884399958600488	0.06145125838157765	0.1578793727226061	-4.52423080261797
ENSG00000250091	0.12294900494048555	9.889972917266649	1.8843601469635902	0.061457143466098	0.1578793727226061	-4.524303867347296
ENSG00000010030	0.26458207286764956	4.667767997161347	1.8840420433078724	0.06150047235160029	0.1579728880417781	-4.524869950263081
ENSG00000140350	-0.06953175391150523	12.124729585004966	-1.8838035342965054	0.061531819022351136	0.1580356077075183	-4.525288828911588
ENSG00000184227	0.22637947654570212	8.215712199716156	1.8835200056109311	0.06157163444439068	0.15812006156662742	-4.525798747868346
ENSG00000250644	0.29649563803870205	5.846248453311922	1.8831714344875548	0.06161918859266104	0.1582243677361878	-4.5264187812843
